epoch,train_loss,val_loss,val_roc_auc_score
1,0.69733373113707,0.6627610921859741,0.515113499183374
2,0.6972778794812221,0.6620177030563354,0.5359877624446707
3,0.6986002454570696,0.6624385118484497,0.49758858617179913
4,0.6978426026362999,0.6634640097618103,0.49009397116955056
5,0.696569435970456,0.6620351672172546,0.5185161076526144
6,0.6990462326535991,0.6661174893379211,0.47941865694605534
7,0.6974768977539212,0.6622105836868286,0.5126044452860559
8,0.6957740692531361,0.6646386981010437,0.4960707269155207
9,0.6986145014856376,0.6658307909965515,0.5089355457192226
10,0.7005446284425025,0.6665258407592773,0.4834426113096788
