epoch,train_loss,val_loss,val_roc_auc_score
1,0.7933651908780589,0.7192456126213074,0.699624464189755
2,0.6281938503185908,0.5905764102935791,0.7354065909346531
3,0.5750968740745024,0.5132577419281006,0.8127632187355504
4,0.5855170289675394,0.3126334547996521,0.8213861707844387
5,0.6220317040428971,0.6893139481544495,0.8455616791012135
6,0.52981119444876,0.6298575401306152,0.8525850110598734
7,0.5172764108036504,1.7940934896469116,0.8424749122083506
8,0.6033657382835041,1.0392651557922363,0.8443557155175646
9,0.562403503240961,0.4105231463909149,0.8506542196228395
10,0.5244915887261882,0.6428777575492859,0.8548532223596895
11,0.49448222904042766,0.5153876543045044,0.8627575950711707
12,0.4864926329164794,0.5786605477333069,0.863188742673615
13,0.48991993792129285,0.6191275715827942,0.8634699258926004
14,0.4873172527912891,0.36773863434791565,0.8709743935815244
15,0.48884487106944574,0.4302353858947754,0.8634699258926005
16,0.46866277560140146,0.8085079789161682,0.8663130006623427
17,0.4716256254098632,0.6301296949386597,0.8618765543183494
18,0.4584046012975953,0.47338613867759705,0.8697871755458078
19,0.4554413846044829,0.5881375074386597,0.8670440770317049
20,0.4578682958628192,0.4341508150100708,0.8629575475824491
21,0.45243857394565234,0.41315069794654846,0.8724677889001362
22,0.4481692810853322,0.34747517108917236,0.8592396805758631
23,0.4512269365968126,0.4268335998058319,0.8691873180119721
24,0.44947750008467474,0.5261984467506409,0.8654756995213638
25,0.4440753175453706,0.36995965242385864,0.8653632262337696
26,0.44354785166003485,0.4233238995075226,0.8664535922718355
27,0.43191741226297437,0.49425774812698364,0.8655006935852737
28,0.43707312417752814,0.2935076951980591,0.8609580224696634
29,0.464069689765121,0.28847116231918335,0.8584586160786813
30,0.515624439626029,0.5201470851898193,0.8498731551256576
31,0.5899214442029144,0.759784996509552,0.848904635149152
