epoch,train_loss,val_loss,val_roc_auc_score
1,0.932340637780726,0.7021902799606323,0.6863888502065636
2,0.5978584941476583,0.5893420577049255,0.8041533212644478
3,0.5275499923154712,0.6501369476318359,0.8187056120317504
4,0.5199210308492184,0.5094558000564575,0.8161757879589658
5,0.5234627430327237,0.5546749234199524,0.8300898203592814
6,0.4876813581213355,0.5525113940238953,0.826857912082811
7,0.4943701378069818,0.42211422324180603,0.8364898110755233
8,0.5733892181888223,0.5631673336029053,0.8371628835352551
9,0.48675664607435465,0.48789137601852417,0.8394025901685003
10,0.4771861704066396,0.5621196031570435,0.8436847235761035
11,0.4734466727823019,0.5843849182128906,0.8372557211159077
12,0.46465370152145624,0.6579608917236328,0.8462087453000975
13,0.4578070747666061,0.41734635829925537,0.8446769252193288
14,0.4452044893987477,0.42852431535720825,0.8364491946339878
15,0.4477930753491819,0.5002204775810242,0.8420252518219375
16,0.4446538956835866,0.5123822093009949,0.8426112890498073
17,0.4417618946172297,0.44216927886009216,0.8406152810657754
18,0.4446716606616974,0.44421350955963135,0.8450772872858934
19,0.43932101456448436,0.4849785268306732,0.8383697720837395
20,0.43979718443006277,0.5286970138549805,0.8406094787169847
21,0.4272919804789126,0.4920680820941925,0.8380970616905723
22,0.43788824044167995,0.4202025532722473,0.8402903495334911
