epoch,train_loss,val_loss,val_roc_auc_score
1,0.6504795094559476,0.5654937028884888,0.8054899461377922
2,0.580414485543167,0.510944664478302,0.8356952723728115
3,0.5368909609728846,0.505515456199646,0.8487484222497157
4,0.5250313017103407,0.48277825117111206,0.8548407253277348
5,0.506468703006876,0.4410226345062256,0.8586148289781177
6,0.49701084784621025,0.4904409945011139,0.8617203414189131
7,0.48945544551615516,0.46464598178863525,0.8623139504367714
8,0.48011615644012834,0.46288034319877625,0.8623701870805685
9,0.47587482282941823,0.47460296750068665,0.8591896924480436
10,0.4693155578726553,0.4152233600616455,0.8621077494095152
11,0.4630686565948172,0.42051035165786743,0.8613204363963557
12,0.45940335717237774,0.4535621702671051,0.863832339819293
13,0.455295081967595,0.4332956075668335,0.8628138317149677
14,0.44849250245825084,0.4019943177700043,0.8636261387920369
15,0.44602054588039947,0.41704061627388,0.8622952048888389
16,0.4409546375959769,0.4262840747833252,0.8612579512365812
17,0.4398448861193383,0.42709463834762573,0.8648445994076407
18,0.437799864973145,0.48482051491737366,0.8656381609367775
19,0.43618165127847386,0.42529648542404175,0.8621202464414701
20,0.4303925671682504,0.43289685249328613,0.8657756282882815
21,0.428623765707016,0.39231565594673157,0.8675689523738113
22,0.42400791761518897,0.39520934224128723,0.8669815918719304
23,0.4206248902041337,0.4041546583175659,0.8675876979217435
24,0.4232431462898108,0.42168641090393066,0.8685562178982492
25,0.4128571201215759,0.41607099771499634,0.8642384933578275
26,0.41298858307558917,0.4359021484851837,0.8698059210937403
27,0.41651902287855913,0.46867215633392334,0.8668941126482461
28,0.4105353815573842,0.41734790802001953,0.8696059685824616
29,0.4087575655216458,0.3905037045478821,0.8620327672177858
30,0.401870043427323,0.46465396881103516,0.8646946350241818
31,0.4009442192955492,0.3566232919692993,0.8666504205251252
32,0.39643271587132495,0.4057047367095947,0.8666691660730576
33,0.40011991646097994,0.3584112524986267,0.8616016196153414
34,0.39984218011185585,0.3954967260360718,0.8640197952986166
35,0.3892096183423338,0.41697829961776733,0.8625263999800047
36,0.3889192317637447,0.46917739510536194,0.8650632974668515
