epoch,train_loss,val_loss,val_roc_auc_score
1,0.6397529372479767,0.5543785691261292,0.8160366843932109
2,0.5639128179755062,0.5130181908607483,0.8312900041397319
3,0.53682380693499,0.472337543964386,0.8393677886401512
4,0.5249395685968921,0.4954967796802521,0.8469360676793088
5,0.5125982543686405,0.4480931758880615,0.8541328323196299
6,0.4978623571805656,0.4858168959617615,0.859211964886582
7,0.4916898742085323,0.4573651850223541,0.861653345221794
8,0.484638434718363,0.3970947265625,0.8633623114564426
9,0.47719435137696564,0.3976810574531555,0.863770977295163
10,0.4652901478111744,0.4912007451057434,0.8671942171130147
11,0.4657774515799247,0.41201451420783997,0.8646413824581515
12,0.458909755339846,0.4166354238986969,0.865936375505525
13,0.4548258082359098,0.4168994128704071,0.8665361058922184
14,0.4476739149540663,0.4803594946861267,0.8663131972529164
15,0.4422561289393343,0.4251166582107544,0.8646891485951449
16,0.4403467985102907,0.4284296929836273,0.8656869301234489
17,0.43822694185655564,0.4245778024196625,0.8646519971552612
18,0.43621435842942446,0.4222824275493622,0.8681283104586611
19,0.43365467083640397,0.41404810547828674,0.8665944867263213
20,0.43275088525842875,0.43904200196266174,0.8661274400534982
21,0.42799536971142516,0.43037649989128113,0.8658567652772027
22,0.42238245654152706,0.42842912673950195,0.864572386926939
23,0.4168604596052319,0.39984259009361267,0.8654693288327019
24,0.4188231440493837,0.41959354281425476,0.8620248596206308
25,0.41422092873835936,0.4418206214904785,0.8648006029147959
26,0.4083821586682461,0.4313160479068756,0.8597426997420629
27,0.40380357566755265,0.41081711649894714,0.8590792811727118
28,0.40764686750480905,0.41555893421173096,0.8568714241739113
